,ds,yhat,yhat_lower,yhat_upper
1333,2022-07-28,2407.274045068236,2048.18623771068,2736.5015872436575
1334,2022-07-29,2425.113932760199,2067.181334821636,2765.0356840492714
1335,2022-07-30,2329.74878141493,1999.0920537030356,2644.411618863861
1337,2022-08-01,2412.7121960457466,2075.9782703816913,2749.9364474461527
1338,2022-08-02,2294.9202210145427,1952.967943024692,2661.2030698858284
1339,2022-08-03,2322.1880882891837,1977.2145056585002,2683.8830048226564
1340,2022-08-04,2328.2498310378464,1983.8484094916187,2648.6823673946947
1341,2022-08-05,2375.754530633525,2045.142720638061,2717.6637072687367
1342,2022-08-06,2312.314978724119,1960.8973897575233,2669.7065331274607
1344,2022-08-08,2467.353905385628,2130.4354616413566,2817.3638491012284
1345,2022-08-09,2387.3471294862575,2019.1155400708278,2743.862530922207
1346,2022-08-10,2454.107555111549,2082.360745589629,2785.7234510198605
1347,2022-08-11,2499.9968033706873,2153.7667022941355,2844.026555080344
1348,2022-08-12,2587.38559620111,2229.9273467473276,2922.2596460621285
1349,2022-08-13,2562.5447516235167,2208.846772609778,2920.7379136515983
