,ds,yhat,yhat_lower,yhat_upper
1360,2022-07-28,1657.8990927490022,1549.3968378681122,1785.2625135557503
1361,2022-07-29,1663.9419736929474,1531.6777550080153,1787.666728601704
1362,2022-07-30,1671.581951631107,1538.5962299133187,1792.2419827295198
1364,2022-08-01,1649.3299330897898,1519.4549374374392,1777.288860507336
1365,2022-08-02,1680.3258238936799,1559.0750105321824,1819.4124595263083
1366,2022-08-03,1690.1733386964245,1568.2610094289057,1810.6578904405683
1367,2022-08-04,1666.18826567866,1540.4888336683189,1801.252067882594
1368,2022-08-05,1677.0787603830852,1536.217290347473,1811.7469857232206
1369,2022-08-06,1690.0395780879942,1564.5563843498971,1822.5117691350813
1371,2022-08-08,1679.6603203114855,1547.6555865049884,1801.483907021982
1372,2022-08-09,1717.4748380531244,1592.1811233407,1851.594984339523
1373,2022-08-10,1734.4615491859765,1615.8001037048016,1859.9461821338202
1374,2022-08-11,1717.836109934259,1598.102686276533,1846.8492943423892
1375,2022-08-12,1736.5800915304635,1617.7904464209964,1865.9820346887348
1376,2022-08-13,1757.6702631870944,1626.5336433728194,1882.6416429818596
