,ds,yhat,yhat_lower,yhat_upper
1351,2022-07-28,5361.999763329777,4176.724236397098,6584.510201041966
1352,2022-07-29,5114.463652294306,3950.1098939545827,6282.620576814396
1353,2022-07-30,5494.05577780144,4256.2710910809965,6705.861535724131
1355,2022-08-01,5242.09367429339,3947.727559726827,6445.76681247762
1356,2022-08-02,5357.420712591754,4016.6447845996972,6559.997733876655
1357,2022-08-03,4991.756990796961,3740.5997419497858,6288.08329062898
1358,2022-08-04,5278.313760741776,4024.4073564701125,6365.755691072042
1359,2022-08-05,4997.685475414737,3751.8953349827807,6200.639582906277
1360,2022-08-06,5347.75119336342,4056.1482470328306,6553.781980790561
1362,2022-08-08,5042.676746532981,3858.1248136436357,6368.780814929587
1363,2022-08-09,5136.604641069134,3841.4560819573994,6335.425742125628
1364,2022-08-10,4751.780807759431,3549.619586217428,5967.246483057007
1365,2022-08-11,5023.93110215285,3832.4095002952877,6170.4259455407855
1366,2022-08-12,4730.929268515722,3570.9166272423827,5991.783952237133
1367,2022-08-13,5073.138329225713,3801.6272042663054,6286.802409163596
