,ds,yhat,yhat_lower,yhat_upper
1314,2022-07-28,717.3100978787916,500.65936365725264,911.5859867773688
1315,2022-07-29,707.9025611974936,494.9036187914009,911.2300171443562
1316,2022-07-30,757.2375900760691,537.2730462391244,977.6436539180976
1318,2022-08-01,792.8220415641409,565.250067908946,1007.487017564916
1319,2022-08-02,779.557730736997,587.3853238181309,991.4522081341611
1320,2022-08-03,772.9523906898792,558.8746113170355,1000.2652335451762
1321,2022-08-04,784.4247887480861,584.5012672266778,990.61075280551
1322,2022-08-05,771.2750431541358,561.777503319121,967.5248417133014
1323,2022-08-06,817.2306717255389,602.194699598781,1023.0507477708758
1325,2022-08-08,844.8311834630003,643.8520523632209,1057.3615832204628
1326,2022-08-09,827.2060485734022,613.3596264932057,1040.175302012321
1327,2022-08-10,816.4670322365532,614.9092735565777,1022.0298323341259
1328,2022-08-11,824.2775944977926,609.6458344129007,1043.912906499426
1329,2022-08-12,807.5568778764138,587.5094849781289,1010.2812843814701
1330,2022-08-13,851.0859555380953,635.513143813756,1062.3639668094515
