,ds,yhat,yhat_lower,yhat_upper
1315,2022-07-28,1237.216626517523,1092.9628046993207,1375.5960198310304
1316,2022-07-29,1241.2892356217512,1094.2808106371938,1389.5312561464266
1317,2022-07-30,1156.9166448429633,1014.1087376184745,1300.4229857951382
1319,2022-08-01,1328.2811544803624,1176.8590521342082,1488.5246690415781
1320,2022-08-02,1276.1529283478596,1132.4388224172424,1424.5826251055641
1321,2022-08-03,1272.7417781083159,1127.695339258742,1420.5466637622817
1322,2022-08-04,1294.9622987500509,1140.1627411272573,1446.2967168742591
1323,2022-08-05,1304.871630188861,1163.3965993823272,1446.6452317393503
1324,2022-08-06,1225.0674177201295,1072.7583198439384,1371.0050659145245
1326,2022-08-08,1405.9559229740019,1267.2858465171755,1563.4045721646496
1327,2022-08-09,1356.376773253354,1211.8274399322052,1493.7277794458757
1328,2022-08-10,1355.0436662876505,1215.080020311063,1508.876491425973
1329,2022-08-11,1378.6930742637285,1226.4844828836692,1515.3895046654702
1330,2022-08-12,1389.115230959052,1244.02676672484,1530.7798412792642
1331,2022-08-13,1308.3697966874727,1163.378647096838,1448.146554245067
