,ds,yhat,yhat_lower,yhat_upper
1347,2022-07-28,12947.671464966663,7294.3132036209645,18176.592006035957
1348,2022-07-29,12864.0710060676,7405.151670116379,17778.31826919838
1349,2022-07-30,12458.729267275392,7548.179358872456,17893.11104745266
1351,2022-08-01,12320.056115946269,6928.456965492495,17292.022589171796
1352,2022-08-02,13091.734742998218,7736.922352822968,18048.964604726156
1353,2022-08-03,12444.107842902962,7484.886492429411,17641.58180973559
1354,2022-08-04,13165.476614695634,8740.993635582056,18451.697708200343
1355,2022-08-05,13142.800427243817,7774.148534951006,18392.811502944485
1356,2022-08-06,12804.659185449047,7770.149034756648,18066.55352048277
1358,2022-08-08,12824.520700630546,7399.793001885921,17970.635677575796
1359,2022-08-09,13687.297405204494,8612.70205065724,18764.112218805396
1360,2022-08-10,13125.201950621557,8212.960941278256,18336.859773998778
1361,2022-08-11,13939.118490676523,8850.517380755118,19375.10695318911
1362,2022-08-12,14001.701026472032,9201.342258434548,19380.74773066529
1363,2022-08-13,13740.744444588541,8634.450401536245,19126.276355067563
