,ds,yhat,yhat_lower,yhat_upper
1347,2022-07-28,3373.1733454466807,2651.159891849947,4157.478308285656
1348,2022-07-29,3405.9753391207078,2688.315279772137,4084.9212145347583
1349,2022-07-30,3307.2258639530246,2622.100067733269,4101.241534587542
1351,2022-08-01,3349.921238505438,2641.538245933922,4078.0378083503197
1352,2022-08-02,3233.478109027368,2550.459191079091,3986.1389570142646
1353,2022-08-03,3202.0737350593636,2464.9511158553332,3893.404953190808
1354,2022-08-04,3162.150379571562,2395.8884707896827,3953.6376987756803
1355,2022-08-05,3201.466796582459,2463.320058877716,3875.1935219395637
1356,2022-08-06,3119.3492357811397,2343.8604074572745,3840.623366770408
1358,2022-08-08,3226.1297538096433,2469.5443787695453,3943.4144512214757
1359,2022-08-09,3155.5656438397227,2477.1958859219367,3882.178205127325
1360,2022-08-10,3178.536360602384,2442.676779582621,3907.391096603467
1361,2022-08-11,3200.2035182439095,2510.1634226377546,3956.0021751234244
1362,2022-08-12,3307.2315138316403,2578.1348389463433,4035.5801037974497
1363,2022-08-13,3297.1047458316884,2581.4040941200965,4026.7408398784714
