,ds,yhat,yhat_lower,yhat_upper
1314,2022-07-28,1254.1961851040276,1132.9413894795448,1384.464314033546
1315,2022-07-29,1283.9795466999753,1163.228571245065,1407.7079734642057
1316,2022-07-30,1357.8030852476695,1232.8045866546734,1484.3108456759198
1318,2022-08-01,1363.2835870105432,1234.6973942132543,1487.6313944714336
1319,2022-08-02,1370.899233239639,1254.0545940649806,1500.425532907677
1320,2022-08-03,1404.2058060649397,1288.1725660752456,1519.8176142836037
1321,2022-08-04,1432.0837770443545,1315.88983253445,1555.03515184057
1322,2022-08-05,1462.927872125495,1341.953026728154,1576.801788900766
1323,2022-08-06,1537.6670430184352,1414.2908797866735,1662.8847299652637
1325,2022-08-08,1541.0652710070085,1431.4342280992128,1669.628499407315
1326,2022-08-09,1546.7049604474255,1422.836613951498,1666.1365341825433
1327,2022-08-10,1577.7542008392106,1458.6375985766576,1712.768586816662
1328,2022-08-11,1602.7574607305178,1483.5457277396122,1723.2700280923425
1329,2022-08-12,1630.287245812498,1502.7591419571258,1750.9865293633713
1330,2022-08-13,1701.8696632921371,1573.018230254196,1819.7991396835405
