,ds,yhat,yhat_lower,yhat_upper
1306,2022-07-28,4517.119635766426,3500.0895476311716,5534.754105234908
1307,2022-07-29,4529.76396195733,3542.6883411937188,5476.382936523921
1308,2022-07-30,4803.8743394881285,3836.0810962371766,5801.2345604595575
1310,2022-08-01,4953.801590223494,3951.028045497753,5917.282964944553
1311,2022-08-02,4931.363298032504,3912.255615334158,5884.342361941594
1312,2022-08-03,5015.855753280925,4107.003110137534,6129.6442791968675
1313,2022-08-04,5027.870147860815,4050.72619356695,6105.020655005771
1314,2022-08-05,5056.0918923829795,4092.4316835145482,6000.042388261722
1315,2022-08-06,5337.385179746217,4291.91228656692,6392.464617078679
1317,2022-08-08,5473.676694621408,4447.282906110383,6446.509542785421
1318,2022-08-09,5431.158678439957,4386.493744424816,6419.184324696715
1319,2022-08-10,5487.79135367556,4443.79925532938,6527.993047433433
1320,2022-08-11,5464.453028126075,4451.970025290378,6602.408486325199
1321,2022-08-12,5450.9189332774195,4425.063975281524,6449.725969999798
1322,2022-08-13,5685.639287365331,4617.577544658325,6760.8133120775055
