,ds,yhat,yhat_lower,yhat_upper
1360,2022-07-28,5049.94835020334,4247.5692601809515,5828.326263730172
1361,2022-07-29,5066.8246493905735,4271.099754705628,5860.506781701543
1362,2022-07-30,4959.262730555609,4183.437970221203,5672.414522121003
1364,2022-08-01,5105.815980230642,4324.976785609004,5868.958678970746
1365,2022-08-02,5058.661665037765,4229.578423525392,5824.642564746075
1366,2022-08-03,5000.575700314992,4227.070809009809,5743.368111558524
1367,2022-08-04,5027.951333663013,4210.803386905073,5798.333875739289
1368,2022-08-05,5056.474330913236,4296.904172591372,5818.747419869775
1369,2022-08-06,4961.422486080627,4193.011561999132,5744.604708165146
1371,2022-08-08,5135.070213698713,4349.52437667943,5960.542709515579
1372,2022-08-09,5101.749821027393,4345.576405045163,5856.704607114246
1373,2022-08-10,5057.315819036728,4254.219831940545,5837.6752114855
1374,2022-08-11,5097.893757158767,4293.519680327757,5862.992554073308
1375,2022-08-12,5138.79048788272,4339.953346451791,5918.78138807221
1376,2022-08-13,5054.889475221415,4287.233134173143,5822.5003028359515
