,ds,yhat,yhat_lower,yhat_upper
1350,2022-07-28,2338.3605002710497,1867.1238813332343,2840.9194954311624
1351,2022-07-29,2430.561615212208,1949.5549521130367,2908.4940297944213
1352,2022-07-30,2354.146331041595,1868.6634452752355,2836.3279980673265
1354,2022-08-01,2419.6104707310824,1937.9513379461498,2938.591368180739
1355,2022-08-02,2498.981563295992,1997.909125619878,2989.132616607947
1356,2022-08-03,2598.3417457810133,2108.432681235603,3089.6150137601453
1357,2022-08-04,2677.1462052694196,2207.1435607235894,3159.4882051930217
1358,2022-08-05,2794.3921100405914,2331.8724628133687,3309.8714957808
1359,2022-08-06,2737.6534816918575,2262.369176704429,3227.9880299200827
1361,2022-08-08,2832.8324350627786,2352.353185276758,3283.695905337221
1362,2022-08-09,2921.5095399737597,2416.7594162073183,3380.470906835892
1363,2022-08-10,3026.469052300562,2567.850616591443,3533.673509783171
1364,2022-08-11,3106.966011217237,2615.839968916626,3608.448618719739
1365,2022-08-12,3222.86928709843,2724.2583631068937,3691.4103157511
1366,2022-08-13,3160.0162582166363,2663.8019019793046,3648.975754025504
