,ds,yhat,yhat_lower,yhat_upper
1313,2022-07-28,13609.222221438433,9811.956245766258,17651.62573188949
1314,2022-07-29,13882.30307065672,10238.429713014168,17966.012278612194
1315,2022-07-30,14426.890319597194,10459.20259116271,18175.14806209422
1317,2022-08-01,14409.267532962389,10110.136315937209,18444.963045554163
1318,2022-08-02,14028.514378392165,10082.729726111847,17666.63437953718
1319,2022-08-03,14546.634478396561,10762.63830803857,18706.552370489662
1320,2022-08-04,14423.236238076079,10448.550179492637,18436.129076663732
1321,2022-08-05,14706.217971287519,10411.254532807267,18747.81546505579
1322,2022-08-06,15253.46155437809,11577.71396146105,19138.821224982315
1324,2022-08-08,15221.059324259357,11484.101257356051,19171.73511969373
1325,2022-08-09,14821.348550461977,10970.300012665954,18823.78977954356
1326,2022-08-10,15309.617430693126,11471.86628816663,19530.634189924487
1327,2022-08-11,15149.131716420145,11145.697545240133,19200.440188656994
1328,2022-08-12,15385.407969199488,11073.977288564667,19368.21357763574
1329,2022-08-13,15877.025078426883,11875.651838142712,19473.131874498005
