,ds,yhat,yhat_lower,yhat_upper
1347,2022-07-28,1780.1952094051846,1385.5667988537186,2189.5832730320903
1348,2022-07-29,1782.2486653453095,1393.467363015693,2156.2270538134558
1349,2022-07-30,1837.308542710706,1463.1228940188823,2220.2576650802434
1351,2022-08-01,2027.2032921851876,1610.9061596993793,2396.3049571490596
1352,2022-08-02,2032.326693885531,1661.1190657551629,2438.646524944322
1353,2022-08-03,1980.5702459271247,1600.4453363168884,2334.0135400857894
1354,2022-08-04,1921.809178545729,1523.9506434952266,2314.1805370853967
1355,2022-08-05,1914.4689110142353,1533.6907867737202,2274.976721615232
1356,2022-08-06,1959.2281745828843,1618.0151760243773,2320.8156982435853
1358,2022-08-08,2127.3984517629556,1749.9880862843906,2520.829803205421
1359,2022-08-09,2121.6276330143446,1740.3529838180023,2512.1955612442935
1360,2022-08-10,2059.6694791481063,1689.0181289457614,2424.022246851617
1361,2022-08-11,1992.1070604538988,1633.9140583155709,2368.502568605118
1362,2022-08-12,1978.080046416055,1608.2791204252392,2370.3389699807203
1363,2022-08-13,2018.7206841655159,1640.0625279355816,2406.8351114742463
