,ds,yhat,yhat_lower,yhat_upper
1359,2022-07-28,2852.0491765182433,2069.394049548305,3662.8087707511704
1360,2022-07-29,2795.3860370096986,2078.6571105473054,3568.4954035420405
1361,2022-07-30,2778.9340313791104,1984.442285215697,3566.7535771398366
1363,2022-08-01,2822.263585843726,2016.662169981288,3607.8595053262397
1364,2022-08-02,2817.790018721241,1984.5739561525706,3560.6153746593827
1365,2022-08-03,2839.983640782276,2021.1690823587383,3591.3070940346456
1366,2022-08-04,2798.336736372345,1981.5233396026595,3562.7896668905437
1367,2022-08-05,2745.0673200912333,1887.5219025975412,3530.0991953901244
1368,2022-08-06,2733.1593993844253,1969.6362018166851,3534.279879261733
1370,2022-08-08,2789.1475507091886,2019.2343927236243,3611.3133066904593
1371,2022-08-09,2793.346403603836,2004.7948979353903,3564.202326284844
1372,2022-08-10,2824.8146337785556,2065.9144846400714,3641.978783289502
1373,2022-08-11,2794.082455945723,1960.4177643327562,3639.877446854174
1374,2022-08-12,2752.298164737429,1985.4302277072418,3514.3809014995627
1375,2022-08-13,2751.3385619811665,1954.985614314453,3502.352041510426
