,ds,yhat,yhat_lower,yhat_upper
1321,2022-07-07,8975.81588413335,8087.9110122499105,9834.428571542538
1322,2022-07-29,6909.1320876050795,6051.4583119397785,7752.487772505339
1323,2022-07-30,7143.116622307406,6283.076079303925,7994.131717143203
1325,2022-08-01,6639.704547184041,5685.146007798323,7540.7844120400105
1326,2022-08-02,6492.431202579037,5632.329695121142,7348.379910186885
1327,2022-08-03,6450.982383618075,5558.042433746924,7286.330333734819
1328,2022-08-04,6388.210644980456,5477.052847900313,7319.767890580235
1329,2022-08-05,6255.804649398052,5383.983857148514,7105.922318890572
1330,2022-08-06,6513.474489203427,5671.131102158419,7387.423774187371
1332,2022-08-08,6058.510835205618,5221.399891091353,6926.6399877571375
1333,2022-08-09,5935.600468033675,5051.751922619269,6897.096566183457
1334,2022-08-10,5918.571297298996,5052.524965842291,6747.425673631282
1335,2022-08-11,5880.368864118481,5057.760969559956,6788.244275357453
1336,2022-08-12,5772.782479490445,4883.2803131368855,6674.590561550047
1337,2022-08-13,6055.453750197456,5191.26182455783,6928.853955960027
