,ds,yhat,yhat_lower,yhat_upper
1211,2022-07-28,1580.8631179421245,1347.9692789054186,1784.7526832172225
1212,2022-07-29,1575.2196316698248,1348.4850080996423,1784.1478716715355
1213,2022-07-30,1617.6383409575076,1386.057847930478,1849.9085648385053
1215,2022-08-01,1713.8638761988523,1495.220699004329,1942.051375309275
1216,2022-08-02,1707.8238811511765,1493.9548703313053,1929.1271797299255
1217,2022-08-03,1695.7744225367226,1469.961509715139,1906.4329435534296
1218,2022-08-04,1738.2733898410738,1513.9706821793068,1947.0531281681845
1219,2022-08-05,1727.3494578819348,1511.0220558500737,1932.424154860419
1220,2022-08-06,1763.1053904092541,1547.4380414030327,1996.317760006391
1222,2022-08-08,1841.6755351031445,1619.7718199315514,2066.4424762112635
1223,2022-08-09,1824.7060401392723,1612.238955302513,2038.3493971563767
1224,2022-08-10,1800.9870745955186,1567.3416359861399,2005.8870283424787
1225,2022-08-11,1831.9035970547586,1595.1537571252,2051.2038690084264
1226,2022-08-12,1808.9561181029082,1593.045181019815,2017.145181921257
1227,2022-08-13,1833.4017565432162,1614.6998213542256,2050.742026189114
