,ds,yhat,yhat_lower,yhat_upper
1339,2022-07-28,2187.708900783951,1885.3211991551645,2473.143194597523
1340,2022-07-29,2240.482255697283,1923.374643460876,2545.1614013801527
1341,2022-07-30,2260.1931167478842,1971.7845403389172,2577.558631384772
1343,2022-08-01,2323.815604253271,2043.6944461312996,2610.6748574358335
1344,2022-08-02,2337.855949989762,2052.500352699589,2636.736685014592
1345,2022-08-03,2376.2323320206915,2082.858539824102,2648.8581692429752
1346,2022-08-04,2351.5381145842534,2060.8937077768833,2647.840525594906
1347,2022-08-05,2427.9177563099734,2126.8214190818544,2718.3308460617377
1348,2022-08-06,2470.2906488634103,2166.920668189104,2770.9850400803216
1350,2022-08-08,2575.859387902405,2266.8222686925596,2883.329633965144
1351,2022-08-09,2608.6823936240166,2314.4065938128083,2916.6388283238057
1352,2022-08-10,2664.253477664832,2370.943629838122,2961.9220396498786
1353,2022-08-11,2654.7561991752605,2352.6617829667853,2933.571776597043
1354,2022-08-12,2744.7108606980773,2445.4871409780912,3051.631957746818
1355,2022-08-13,2798.538691402689,2512.8093415998705,3089.859681171458
