,ds,yhat,yhat_lower,yhat_upper
1339,2022-07-28,4754.1038283031985,4003.047844312069,5431.247393476379
1340,2022-07-29,4584.365004400369,3936.8374435496517,5269.170376722194
1341,2022-07-30,4681.03599816835,3964.995868447019,5363.902164307954
1343,2022-08-01,4505.665488582633,3812.568093012761,5207.250262379203
1344,2022-08-02,4570.773829514761,3851.9476021588334,5281.380747659395
1345,2022-08-03,4720.363786549743,4056.085730980806,5412.878054909025
1346,2022-08-04,4674.532760542733,4021.731049342957,5415.337310583731
1347,2022-08-05,4516.641693646599,3770.052723334797,5250.316031732558
1348,2022-08-06,4624.559815985704,3876.961018970958,5308.354187511228
1350,2022-08-08,4471.346716338301,3773.233611759901,5184.100908899691
1351,2022-08-09,4546.953721504856,3847.3888157716897,5281.526265479706
1352,2022-08-10,4706.703495833515,3972.610896955118,5436.015557136741
1353,2022-08-11,4671.075794395207,3940.6750375491247,5406.109594147218
1354,2022-08-12,4523.352947306442,3818.866155285069,5301.730338148897
1355,2022-08-13,4640.948788461797,3924.377142964753,5332.128963397885
