,ds,yhat,yhat_lower,yhat_upper
1355,2022-07-28,2049.5486454537163,1738.0622366669004,2370.9102472984905
1356,2022-07-29,2111.158668549884,1804.716673802346,2423.581314797408
1357,2022-07-30,2178.6411191362167,1865.613738428963,2477.0340792564284
1359,2022-08-01,2418.2904250337206,2109.3324334073395,2702.8697312121335
1360,2022-08-02,2386.7715968798284,2080.7585946837826,2697.3391351153527
1361,2022-08-03,2389.5875493570306,2074.525716599418,2670.2117262737383
1362,2022-08-04,2437.691151501846,2130.9926828354774,2752.477260894068
1363,2022-08-05,2502.662488093702,2201.124715955403,2791.6955102647466
1364,2022-08-06,2568.5447339955385,2272.3721311412355,2860.5237930534536
1366,2022-08-08,2790.840146405194,2486.549462927192,3099.574636032007
1367,2022-08-09,2742.573845551254,2436.4774428493274,3046.159004920694
1368,2022-08-10,2724.614557596528,2406.1754602499645,3019.048478460062
1369,2022-08-11,2748.4524107037555,2443.777764755373,3049.6020239440113
1370,2022-08-12,2786.033050721225,2482.3770863244267,3096.845558646834
1371,2022-08-13,2821.9270561512526,2520.7087129651877,3110.9023746804937
