,ds,yhat,yhat_lower,yhat_upper
1354,2022-07-28,2068.5780717059642,753.0793429577494,3359.7736559410896
1355,2022-07-29,2254.700980141779,961.9435519863453,3629.965694282797
1356,2022-07-30,2264.6561488012953,848.430603877304,3544.064167121091
1358,2022-08-01,2259.2738687697197,847.4666830546905,3532.7175234329834
1359,2022-08-02,2201.584294593641,844.6962360744236,3528.5492278280844
1360,2022-08-03,2180.0773785511055,835.2486835627002,3539.4454190809724
1361,2022-08-04,2192.2723743622705,853.0182647552332,3578.230120976451
1362,2022-08-05,2392.5608929599684,983.6344186720619,3675.2058681815206
1363,2022-08-06,2419.380758350136,1085.2947062979288,3759.2962241823907
1365,2022-08-08,2453.2983883689876,1166.831335913449,3831.0656427341287
1366,2022-08-09,2416.12282027726,1053.4783265631324,3712.7587565182484
1367,2022-08-10,2414.494176383954,1102.0528390012319,3732.962790740968
1368,2022-08-11,2444.9272601739613,1106.467165834959,3776.886067688765
1369,2022-08-12,2661.0758670073706,1340.061215548975,4061.1430349344873
1370,2022-08-13,2699.93708468043,1424.2828236067944,4026.2181898530403
