,ds,yhat,yhat_lower,yhat_upper
1342,2022-07-28,2714.9713053161804,2282.6831080728894,3138.9570841243867
1343,2022-07-29,2641.2958098080817,2200.1321518550462,3085.397279942872
1344,2022-07-30,2617.767469559617,2152.7164718841336,3045.8973622187955
1346,2022-08-01,2451.6342721887954,2023.0792200979215,2877.269336999628
1347,2022-08-02,2431.011781037926,2015.210168194494,2908.734503457401
1348,2022-08-03,2414.757483250894,2006.6403047808649,2854.83549276576
1349,2022-08-04,2425.6614127483317,2017.3883739557969,2864.1016335545964
1350,2022-08-05,2368.899467389409,1925.184416842542,2828.6687281502636
1351,2022-08-06,2363.462443251011,1944.8595718257059,2797.49952267455
1353,2022-08-08,2236.8805414686085,1787.0168009888025,2690.796562048621
1354,2022-08-09,2236.8254961018943,1801.5276625566776,2674.505292053338
1355,2022-08-10,2241.400288066346,1817.7804799687465,2718.6665025529815
1356,2022-08-11,2273.03904494958,1864.0931097625462,2742.1113819240963
1357,2022-08-12,2236.9137070588868,1783.3044059274894,2639.8830176899073
1358,2022-08-13,2251.3884781886572,1800.148961261429,2682.6473319336505
