,ds,yhat,yhat_lower,yhat_upper
1249,2022-07-28,5084.022917911097,3901.561078709127,6280.9645928949085
1250,2022-07-29,5251.013709268352,4150.863909507579,6455.785067252331
1251,2022-07-30,5393.700257366196,4214.490125539243,6567.543359368767
1253,2022-08-01,5761.915863857869,4631.285955806115,6971.751842731749
1254,2022-08-02,5751.787052156227,4631.4005626930375,7044.738649270905
1255,2022-08-03,5773.707789749221,4668.954332346609,6985.443512306404
1256,2022-08-04,5842.631261205102,4699.716591013238,7019.37006789204
1257,2022-08-05,5990.339126733859,4825.326884941567,7229.626948209826
1258,2022-08-06,6099.266355317451,4959.439541822798,7264.515963115072
1260,2022-08-08,6359.099417204517,5167.051162182905,7473.698297330575
1261,2022-08-09,6275.96364545798,5080.2965833845,7388.031024060978
1262,2022-08-10,6214.573540981711,5087.9843599911155,7393.854138784862
1263,2022-08-11,6191.7406281493495,5038.884100396264,7400.465418695795
1264,2022-08-12,6241.386044456445,5135.580830632145,7321.325466076407
1265,2022-08-13,6248.00445817642,5003.800929457509,7391.44697500075
