,ds,yhat,yhat_lower,yhat_upper
1294,2022-07-22,10755.797248149507,8951.252658076251,12457.182540622322
1295,2022-07-26,10694.062328365417,8982.747855846748,12398.622299257726
1296,2022-07-27,10618.767495058275,8849.322564217056,12326.501653770658
1297,2022-07-28,10327.64790566252,8587.67752737384,11937.082291254806
1298,2022-07-29,10553.08026277833,8846.750524059567,12352.906894712889
1299,2022-07-30,10495.422041669772,8784.494535372072,12316.856779476535
1301,2022-08-01,10229.939259541845,8554.122623941394,11990.290119609002
1302,2022-08-02,10588.345383071754,8909.97849986155,12308.613309985638
1303,2022-08-03,10555.12995018403,8831.193798680204,12276.911616943185
1304,2022-08-04,10312.162801953615,8526.795934932403,12053.474991996107
1305,2022-08-05,10591.606272661917,8814.009846945039,12374.981558666479
1306,2022-08-06,10592.390015212706,8927.756058281551,12328.370494753339
1308,2022-08-08,10453.501243467788,8542.794913116564,12156.65174120634
1309,2022-08-09,10878.171987965201,9202.872223984365,12690.81430829842
1310,2022-08-10,10911.050188204323,9130.775739886834,12622.442483893348
