,ds,yhat,yhat_lower,yhat_upper
1298,2022-07-28,1212.1992862768852,1097.6090847337903,1321.227107072498
1299,2022-07-29,1224.4343937348904,1110.0531260797902,1340.2327164261376
1300,2022-07-30,1226.2957757792199,1113.400992395288,1342.568815380768
1302,2022-08-01,1244.228609585856,1137.4115544647366,1359.3619163555315
1303,2022-08-02,1257.3732946564355,1144.0637095448092,1373.1119605424535
1304,2022-08-03,1268.7543298221667,1144.247814805826,1383.6901635464146
1305,2022-08-04,1257.716147283976,1145.573700593923,1375.5934081057032
1306,2022-08-05,1267.3940785182056,1157.0344416427583,1386.3911290538222
1307,2022-08-06,1266.7853224536345,1157.8670047264459,1378.3554303199792
1309,2022-08-08,1280.4343783034565,1162.6070698914539,1393.6108034892638
1310,2022-08-09,1291.774263398865,1180.7097524841317,1409.9334645521926
1311,2022-08-10,1301.5491089786203,1187.6798685920198,1416.041296742662
1312,2022-08-11,1288.96102422732,1174.3804205289473,1410.2446823107714
1313,2022-08-12,1297.4075633879816,1188.8995586635297,1418.221559854466
1314,2022-08-13,1295.660502502017,1178.248683440367,1411.2755693906577
