,ds,yhat,yhat_lower,yhat_upper
1340,2022-07-28,2935.8142963242813,2572.3313554175843,3274.970665409347
1341,2022-07-29,2900.5431191709945,2521.2696258822452,3260.3464756781323
1342,2022-07-30,2973.4982800361327,2617.6688719171966,3327.503545413994
1344,2022-08-01,2930.9084104053513,2586.1712508794594,3274.146193196477
1345,2022-08-02,2896.2445014036075,2561.5090508925973,3237.3992119801446
1346,2022-08-03,2927.5934410474183,2571.176057795774,3270.781840929944
1347,2022-08-04,2873.3824479172004,2533.955969758801,3235.9658385275707
1348,2022-08-05,2838.393148649366,2485.9089216038387,3207.955986922655
1349,2022-08-06,2914.4637517852375,2549.7515440042575,3263.3890833026535
1351,2022-08-08,2882.988815876657,2530.7514537736774,3237.078185976046
1352,2022-08-09,2856.6671772042555,2516.879634819651,3199.1752314156392
1353,2022-08-10,2898.512888794995,2516.462396650423,3264.613465176159
1354,2022-08-11,2855.743048157375,2478.6785450168545,3205.432391452421
1355,2022-08-12,2833.613607842591,2498.583912381583,3199.4408517733727
1356,2022-08-13,2924.3255693671667,2548.618761586836,3291.373617662464
