,ds,yhat,yhat_lower,yhat_upper
1304,2022-07-28,2247.712730658799,1852.3275293954214,2611.7004647845315
1305,2022-07-29,2320.4431995551577,1942.56591037917,2679.8761574322316
1306,2022-07-30,2398.152298910825,1991.331327516058,2800.811981926702
1308,2022-08-01,2627.089486475453,2260.227896625515,3013.4403814831226
1309,2022-08-02,2638.223051587561,2281.5098735566753,3026.340388096234
1310,2022-08-03,2585.012695875991,2229.542899696832,2974.5002561956526
1311,2022-08-04,2567.2787291445024,2150.759077428521,2939.958857707521
1312,2022-08-05,2643.6808748728595,2285.499990268303,3020.0889184798443
1313,2022-08-06,2720.995183486109,2340.3013582765066,3103.9374490115474
1315,2022-08-08,2938.076725129764,2541.664309957713,3300.621239110365
1316,2022-08-09,2938.130948659961,2544.5721396926815,3316.9367782507097
1317,2022-08-10,2871.0463316074047,2486.3013240453524,3238.9223465543664
1318,2022-08-11,2837.4513144088532,2453.1499397300613,3208.7263200375555
1319,2022-08-12,2896.7653252676796,2491.624614885569,3257.061811817071
1320,2022-08-13,2956.184758536298,2584.976868203731,3344.2786378882997
