,ds,yhat,yhat_lower,yhat_upper
1342,2022-07-28,2115.725742718499,1390.4451763077254,2937.656946210981
1343,2022-07-29,2206.8309935463476,1460.1353457425653,3034.9526364914336
1344,2022-07-30,2173.0095937965393,1394.8675318559724,2877.6567467778873
1346,2022-08-01,2478.87438500704,1643.9233901689881,3308.141685069002
1347,2022-08-02,2685.151555444119,1848.5645556075085,3468.344799459307
1348,2022-08-03,2657.2463191179186,1868.1803284515122,3431.054007961124
1349,2022-08-04,2661.6957109970344,1836.280354635348,3463.4076772971
1350,2022-08-05,2813.574663613758,2030.327049540755,3645.9326260500366
1351,2022-08-06,2836.4319744793784,2045.469513877195,3642.4562762820465
1353,2022-08-08,3241.5199367144787,2402.5405210112344,4082.3577470385417
1354,2022-08-09,3488.276995542032,2663.6276339592055,4316.8274991998205
1355,2022-08-10,3493.1061501656845,2657.7540838397113,4319.524280542312
1356,2022-08-11,3522.788129490939,2742.0821125202333,4343.018952867382
1357,2022-08-12,3692.3853858879415,2875.422820585905,4506.706610517205
1358,2022-08-13,3724.5211809655125,3050.8069859228726,4545.744226774032
