,ds,yhat,yhat_lower,yhat_upper
1316,2022-07-28,3992.4347084305327,3081.765255196429,4841.305327576917
1317,2022-07-29,4244.250067175032,3379.3105681148777,5139.141691373215
1318,2022-07-30,4635.981540753542,3731.309215436892,5437.299322736637
1320,2022-08-01,5611.291367687295,4769.585751157284,6407.82654031468
1321,2022-08-02,5433.892976746291,4597.7124579390465,6235.254648158551
1322,2022-08-03,5545.7721822193425,4729.143374982596,6420.202087590847
1323,2022-08-04,5833.049538823949,4992.291937850251,6714.4493857380985
1324,2022-08-05,6188.817002482059,5325.3169177677055,7035.307590216862
1325,2022-08-06,6670.268835113351,5825.7415275983,7545.328939366813
1327,2022-08-08,7776.534898306371,6982.532517577121,8725.639377302525
1328,2022-08-09,7631.896839855328,6718.633456744191,8482.032964078882
1329,2022-08-10,7762.184070194115,6854.2357624734195,8690.324043466384
1330,2022-08-11,8052.8461764682825,7208.166682031976,8911.7770127079
1331,2022-08-12,8396.695973126261,7490.385121335379,9283.455430609389
1332,2022-08-13,8852.577282893593,8010.83037179775,9644.563012416284
