,ds,yhat,yhat_lower,yhat_upper
1245,2022-07-28,2391.7598139650277,216.21862008748363,4674.018877726706
1246,2022-07-29,2557.311033877534,370.0776437670812,4889.553716094937
1247,2022-07-30,2530.651882417171,298.1003565845288,4640.580257355459
1249,2022-08-01,2714.987605458032,638.4754307508477,4916.515682686216
1250,2022-08-02,2590.5784566908947,359.28594644518387,4656.205761108727
1251,2022-08-03,2626.449675961398,519.8452923389108,4808.100835639499
1252,2022-08-04,2525.665549861732,445.04264902115364,4750.840436019605
1253,2022-08-05,2710.675344468749,484.3678262888244,4885.856317854381
1254,2022-08-06,2700.8140061988747,536.6648676978127,4958.137204472454
1256,2022-08-08,2908.5055620886696,690.3600493815832,5129.096336744268
1257,2022-08-09,2791.3707721014353,714.726571512778,4909.519516546357
1258,2022-08-10,2831.096464615992,685.0235649716067,5111.623843086436
1259,2022-08-11,2731.6162401241722,630.3745831459843,4726.263246786961
1260,2022-08-12,2914.7880766410144,694.712226707715,4997.925670156032
1261,2022-08-13,2901.344953891523,725.8870260535854,5107.882822929428
