,ds,yhat,yhat_lower,yhat_upper
1317,2022-07-27,3914.068198092084,2479.301829716102,5272.0661275965285
1318,2022-07-29,4122.297130939557,2848.183647711014,5534.121345687851
1319,2022-07-30,4177.035189708449,2888.9695971440274,5563.901286581395
1321,2022-08-01,4446.028012013288,3067.705812511173,5803.282508833164
1322,2022-08-02,4816.043215331121,3408.4480136020466,6172.364503342081
1323,2022-08-03,4834.142455507269,3452.312231175201,6297.083556727439
1324,2022-08-04,4853.658862874212,3507.602512876636,6313.9176647287295
1325,2022-08-05,4976.172822935512,3569.746408454116,6296.300528556802
1326,2022-08-06,4983.626670654829,3661.0989032793937,6341.291410650434
1328,2022-08-08,5135.202211534929,3677.823737312262,6442.4408608261265
1329,2022-08-09,5437.730097749187,3964.167533164476,6907.662345152364
1330,2022-08-10,5384.035154852187,4057.029866812907,6754.21253960071
1331,2022-08-11,5329.123084787666,3924.095747675771,6749.594851374228
1332,2022-08-12,5376.105935863791,4061.070892440012,6805.210255719861
1333,2022-08-13,5308.241652670139,3962.712625068924,6671.226958696149
