,ds,yhat,yhat_lower,yhat_upper
1350,2022-07-28,2478.870027604984,2177.707959585459,2767.1131852030326
1351,2022-07-29,2472.0990912113216,2202.8382699548074,2755.6444952735446
1352,2022-07-30,2398.764838396041,2119.042206024078,2740.2257435521065
1354,2022-08-01,2466.1656786633744,2172.267555894089,2772.135983505784
1355,2022-08-02,2399.953333225777,2127.0203617909583,2706.029983137685
1356,2022-08-03,2403.852883436076,2101.8385104029544,2708.838995147701
1357,2022-08-04,2387.0868287338835,2075.875854916389,2676.5524020059743
1358,2022-08-05,2358.2583979821,2055.9965867979067,2680.9465871313537
1359,2022-08-06,2262.283073006182,1956.838831500069,2557.3564910783216
1361,2022-08-08,2280.9514540783907,1976.3733072188866,2583.518735158295
1362,2022-08-09,2191.8271572869153,1876.5661252812856,2504.055721250499
1363,2022-08-10,2173.2850776342393,1856.0862961091452,2470.33053834169
1364,2022-08-11,2136.0182903538816,1851.9768420657274,2456.3879223511003
1365,2022-08-12,2089.1196931014883,1794.3243650402264,2397.2415490477692
1366,2022-08-13,1978.5680775334938,1683.08542489496,2276.660072471408
