,ds,yhat,yhat_lower,yhat_upper
1297,2022-07-28,3259.6148828797914,2345.4379679926487,4208.527544040382
1298,2022-07-29,3307.9107845399844,2398.812124159552,4189.050326968977
1299,2022-07-30,3179.164613434167,2208.5539444453225,4109.456046915586
1301,2022-08-01,3180.7810904931775,2286.1201189648987,4031.8029264854595
1302,2022-08-02,3081.4912946819422,2178.63532389552,4011.8771319261996
1303,2022-08-03,2964.098399461177,2157.763445692531,3957.9543787398634
1304,2022-08-04,2908.3082006106365,1990.5452823673122,3913.107352587027
1305,2022-08-05,2994.8796097807426,2049.949842972452,3954.1822184985936
1306,2022-08-06,2907.894222288729,2031.0050063452861,3819.231705433215
1308,2022-08-08,3003.2578475590526,2067.6366461885796,3970.2705575212135
1309,2022-08-09,2953.2318242550436,1975.684805519096,3901.1058744674137
1310,2022-08-10,2885.73568386644,1879.4675510743027,3842.1701780100884
1311,2022-08-11,2879.978817928552,1896.184097358501,3763.4250575869764
1312,2022-08-12,3016.2855489967023,2130.4197146959477,3959.6269800175423
1313,2022-08-13,2976.7455032255198,2028.1019593507135,3951.8216344947027
