,ds,yhat,yhat_lower,yhat_upper
1352,2022-07-28,45.5051451885055,-983.2476758977966,1086.8251571007063
1353,2022-07-29,140.75107974576676,-897.0597249430677,1187.7110542990695
1354,2022-07-30,161.3861285744968,-917.720241166925,1194.5814269585221
1356,2022-08-01,405.8702529664708,-735.0240528329257,1442.0563545130478
1357,2022-08-02,521.5338870505017,-460.556371094501,1539.1910239439667
1358,2022-08-03,638.3041797470984,-422.5546681812864,1614.4363658024652
1359,2022-08-04,601.0034360665195,-391.7542057847985,1626.0359502031922
1360,2022-08-05,818.7490248159879,-188.68140323981467,1772.269060766886
1361,2022-08-06,960.5476126661301,20.687332350390413,2042.0503279045
1363,2022-08-08,1436.5188790417158,383.19913248634634,2454.983906349621
1364,2022-08-09,1658.2828120876356,617.5813805270378,2748.5459682916094
1365,2022-08-10,1872.2867362052136,854.4087489980376,2839.60684322844
1366,2022-08-11,1921.2424430717522,778.1563494510491,2918.500078369793
1367,2022-08-12,2213.9487194688254,1225.010899669293,3179.2857778517737
1368,2022-08-13,2417.1882700055344,1404.0997539533118,3402.3279951446184
