,ds,yhat,yhat_lower,yhat_upper
1313,2022-07-28,2541.046666610142,1877.2337924768528,3218.0044680718192
1314,2022-07-29,2616.7632050200996,1875.0532485700498,3347.1288048536926
1315,2022-07-30,2533.156334580827,1851.3361923167768,3297.5833526058614
1317,2022-08-01,3061.783852075499,2358.2087600389464,3774.664699818904
1318,2022-08-02,3043.3314354556483,2321.969477352501,3716.9277469314766
1319,2022-08-03,3044.4501215594696,2323.9666256595488,3733.897503905897
1320,2022-08-04,2986.962017636652,2250.541526872798,3690.261793046214
1321,2022-08-05,3092.766822501792,2394.733150469191,3797.2898176710582
1322,2022-08-06,3036.4156256589094,2347.6596792392943,3778.6216774924933
1324,2022-08-08,3628.797826752517,2976.139608304386,4315.931097478776
1325,2022-08-09,3639.153406286567,2888.71011287012,4337.608220362943
1326,2022-08-10,3670.404864493763,2949.7760081718907,4445.310667610046
1327,2022-08-11,3643.6614410684706,2889.553404166343,4330.2091641653005
1328,2022-08-12,3784.0835028149736,3062.479884747236,4493.755834652999
1329,2022-08-13,3762.0230040472516,3027.9819138154603,4425.8500483736625
