,ds,yhat,yhat_lower,yhat_upper
1359,2022-07-28,1906.241699593805,1663.2179671953204,2145.823782174108
1360,2022-07-29,1854.012449573622,1615.2349762389497,2104.423166464222
1361,2022-07-30,1875.3521344311976,1620.5591416533068,2099.6138246614782
1363,2022-08-01,1829.5787506347633,1575.3914905163695,2062.3996735712462
1364,2022-08-02,1846.1304363377815,1585.7615968073994,2067.474827227657
1365,2022-08-03,1905.4028661121151,1672.0363798526553,2162.112816640565
1366,2022-08-04,1916.5938608217934,1676.3128936045828,2177.629973541976
1367,2022-08-05,1868.1308368241184,1621.6771228151486,2102.3676226639113
1368,2022-08-06,1893.6509797332267,1647.0348438683382,2128.660010110912
1370,2022-08-08,1856.9201646399395,1610.2755846872183,2100.6421061830833
1371,2022-08-09,1878.6566806671913,1631.8385101936367,2128.602678520302
1372,2022-08-10,1943.6527982113596,1695.7783475362044,2183.5812652455943
1373,2022-08-11,1960.8956605739857,1745.3368043584944,2220.241004324134
1374,2022-08-12,1918.7947442321017,1684.3977053106275,2157.93540367965
1375,2022-08-13,1951.332053780719,1692.1974029745197,2192.4311601088766
