,ds,yhat,yhat_lower,yhat_upper
1293,2022-07-28,1456.0291075470552,1341.3409563258178,1566.9645549409872
1294,2022-07-29,1458.804963895179,1339.130748201981,1578.949565531395
1295,2022-07-30,1486.3176581862642,1363.2543656201378,1608.9159654496866
1297,2022-08-01,1556.806201410813,1432.9718005303937,1671.903159201486
1298,2022-08-02,1566.8745739980448,1441.5730852970469,1687.5984166703915
1299,2022-08-03,1601.6509284100662,1476.0518786994257,1735.9034252742329
1300,2022-08-04,1628.062534783612,1503.699146685297,1746.8167583288655
1301,2022-08-05,1632.0086670516857,1513.1268963921323,1752.9999928878563
1302,2022-08-06,1659.9532335770298,1545.8590030262576,1786.775213156209
1304,2022-08-08,1728.578460772285,1605.5983295035212,1849.707146941127
1305,2022-08-09,1736.0959694245787,1617.823910297581,1852.7607270127248
1306,2022-08-10,1767.5961999375706,1638.0700455607437,1882.3533225053711
1307,2022-08-11,1789.7741179941863,1663.9760452915255,1915.7319107207643
1308,2022-08-12,1788.459711135936,1657.0826661905146,1911.341831851962
1309,2022-08-13,1810.5395191093462,1688.6933286960561,1933.613706871125
