,ds,yhat,yhat_lower,yhat_upper
1358,2022-07-28,1573.9097010600437,1127.1296808813836,1976.8360033176189
1359,2022-07-29,1646.3889455604951,1213.6590533554222,2066.643156532161
1360,2022-07-30,1633.9486691096804,1195.2543506630798,2029.3886869345674
1362,2022-08-01,1771.2803554218215,1339.2287772975928,2195.862285807908
1363,2022-08-02,1817.7598651677101,1411.1679137228039,2231.2890706644753
1364,2022-08-03,1890.7410938091455,1431.1214838420735,2316.3368643840217
1365,2022-08-04,1941.363927758057,1537.0345922422891,2391.9058918704823
1366,2022-08-05,2006.0027990135359,1587.9983684405288,2452.969914425346
1367,2022-08-06,1979.246158703937,1537.8211536929125,2418.7612814469867
1369,2022-08-08,2072.569580803561,1637.7642471770785,2505.6044153097077
1370,2022-08-09,2090.434485203773,1664.6945386182858,2505.812738296447
1371,2022-08-10,2131.8022350268575,1708.4891585955145,2586.353377388327
1372,2022-08-11,2148.651401416889,1707.1452126186111,2587.2006227086063
1373,2022-08-12,2178.6243780491604,1733.5712390148024,2605.1833205981557
1374,2022-08-13,2117.0035958352846,1677.3046236534906,2548.19842098852
