,ds,yhat,yhat_lower,yhat_upper
1296,2022-07-28,841.525162006747,739.3591470296578,947.4090190898645
1297,2022-07-29,846.497149655442,746.6839463944872,950.7493746241058
1298,2022-07-30,839.1822715134023,732.6131221172284,935.0446891266142
1300,2022-08-01,876.8961339088959,774.6184188135204,977.6249230184721
1301,2022-08-02,885.3813057001565,779.9624765355509,985.6207832300817
1302,2022-08-03,898.6500481353339,797.0661360692723,1008.9525205631372
1303,2022-08-04,909.6582182892568,812.0630355164524,1012.2730429567166
1304,2022-08-05,915.1778606819602,814.4705853642777,1021.0895265878546
1305,2022-08-06,908.6360389641081,801.1041451339694,1010.3662018041567
1307,2022-08-08,950.0715870265491,843.1882511360791,1053.7982313018017
1308,2022-08-09,961.0089089075243,859.2554282433767,1067.9630526679896
1309,2022-08-10,977.3093658748855,874.9959694814556,1075.606252695736
1310,2022-08-11,991.8131116245867,893.7192871031892,1092.1416962278663
1311,2022-08-12,1001.2181442373034,899.602371499611,1109.041168627966
1312,2022-08-13,998.8127591731584,893.1308930572584,1099.2403961928894
