,ds,yhat,yhat_lower,yhat_upper
1285,2022-07-28,6726.640455863157,5161.9698336298225,8325.174203325932
1286,2022-07-29,6081.402278725807,4542.9832211408375,7663.926655688303
1287,2022-07-30,6198.809971054368,4581.470600515576,7725.229013838305
1289,2022-08-01,5646.220655541486,4024.040161484408,7280.515979284936
1290,2022-08-02,6243.363632962419,4694.004262303767,7951.750065215489
1291,2022-08-03,5988.450454277107,4403.158019705757,7674.073795719475
1292,2022-08-04,6572.971229438529,4850.699158530756,8170.224203236928
1293,2022-08-05,5946.065372607965,4270.183123226353,7662.079117555011
1294,2022-08-06,6085.935499636149,4335.891027711281,7659.962694709752
1296,2022-08-08,5585.845623308511,3947.440770483454,7203.39922806991
1297,2022-08-09,6213.410732872134,4541.771259462509,7735.485347175115
1298,2022-08-10,5989.439873649687,4446.867668591515,7664.99498257232
1299,2022-08-11,6606.603693611658,4950.997980590432,8109.549210077179
1300,2022-08-12,6011.225281462387,4419.662129897369,7658.842168888939
1301,2022-08-13,6182.947545600031,4560.091799290766,7636.27600925889
