,ds,yhat,yhat_lower,yhat_upper
1313,2022-07-28,6834.710116089145,5466.288968946793,8224.581488775759
1314,2022-07-29,7291.197031471596,5833.629860944455,8656.066051940032
1315,2022-07-30,7605.4939811000595,6266.585456503017,8996.292142236118
1317,2022-08-01,8172.922515876928,6883.260312207169,9655.352458133255
1318,2022-08-02,8349.7754614839,6948.850471417953,9815.964790342316
1319,2022-08-03,8567.019257796537,7223.841835495078,9977.989876285517
1320,2022-08-04,8619.229384608336,7247.810934667542,10061.095834520691
1321,2022-08-05,9059.046878449106,7817.233698479354,10484.86001099583
1322,2022-08-06,9333.862010023988,7891.7235326918935,10642.648689233934
1324,2022-08-08,9760.88324751258,8404.07238934442,11214.72634948759
1325,2022-08-09,9840.27735340332,8526.90252965898,11212.306907356611
1326,2022-08-10,9945.895808536614,8521.483730229953,11387.887739822385
1327,2022-08-11,9874.269520852791,8454.361604302525,11262.628304480499
1328,2022-08-12,10184.3924963827,8765.424203401602,11606.631967479754
1329,2022-08-13,10324.273894486947,8997.478975663422,11838.7705560431
