,ds,yhat,yhat_lower,yhat_upper
1205,2022-06-30,4312.269698388816,3733.357287985323,4879.423052027059
1206,2022-07-01,4329.430792981108,3786.010495480326,4891.901752254639
1207,2022-07-02,4425.345898541778,3886.245726666543,4944.226962809519
1209,2022-07-04,4610.797061995423,4083.4486232762342,5179.563245956823
1210,2022-07-05,4536.080939516023,3970.5061041116023,5154.764287331285
1211,2022-07-06,4580.759809049884,4032.1576017157595,5140.211964547876
1212,2022-07-07,4570.43411542847,3997.205188613952,5143.783108987905
1213,2022-07-08,4557.711084378738,4025.3441266962177,5094.271397737396
1214,2022-07-09,4630.338168001862,4080.866072590836,5190.782409221607
1216,2022-07-11,4792.071183551963,4233.295399723642,5305.5846619790445
1217,2022-07-12,4717.8198028433,4140.118254162727,5224.550984124987
1218,2022-07-13,4772.527817229441,4222.083547471841,5338.485332735501
1219,2022-07-14,4781.34295043262,4210.55025059396,5301.563052546423
1220,2022-07-15,4796.915484529465,4255.788516463142,5373.726804086138
1221,2022-07-16,4906.893162944243,4383.201821627154,5466.410090506827
