,ds,yhat,yhat_lower,yhat_upper
1289,2022-07-28,7880.177052974157,4409.852323293145,12010.186156867172
1290,2022-07-29,8449.34234528552,4529.648464069559,12214.430718778662
1291,2022-07-30,7782.082308110064,3802.9900590594125,11557.277851845103
1293,2022-08-01,7233.38308461023,3269.465599345073,11112.387895646258
1294,2022-08-02,6578.544601298503,2742.71203484379,10529.581312871403
1295,2022-08-03,7073.848050099708,3390.7400105738784,10717.759357428682
1296,2022-08-04,6750.48758152259,2684.8627361049626,10507.208372002831
1297,2022-08-05,7350.842026689408,3482.834088503591,11024.081533651432
1298,2022-08-06,6705.201470098185,2846.005917666143,10845.333862100018
1300,2022-08-08,6187.215920883291,2162.1138851099213,9631.523792223858
1301,2022-08-09,5539.283692070816,1776.137287504805,9263.790148808197
1302,2022-08-10,6041.689093123901,2302.334878182997,9600.681108295543
1303,2022-08-11,5719.386233207172,1952.3028558629571,9569.81237676049
1304,2022-08-12,6322.032681761936,2835.73646259046,10292.788585925906
1305,2022-08-13,5673.281400110843,2116.192431542498,9790.182193027063
