,ds,yhat,yhat_lower,yhat_upper
1349,2022-07-28,1101.7891213068922,847.3447040949774,1364.4048673363206
1350,2022-07-29,1113.6863166733485,842.3035240014046,1381.5366766376835
1351,2022-07-30,1063.008581569444,795.7459507615438,1318.0094593027584
1353,2022-08-01,1114.8489520355336,853.8261333948573,1356.5919802311723
1354,2022-08-02,1067.3065127338061,836.1651176600881,1332.2177810032597
1355,2022-08-03,1082.2910993587336,829.341010658988,1345.4784349795523
1356,2022-08-04,1055.5189941671522,811.8019019715052,1311.7015230834568
1357,2022-08-05,1064.4861550768928,835.487100990684,1298.4693115178177
1358,2022-08-06,1012.3322526644844,766.5236025432406,1258.8622019155505
1360,2022-08-08,1057.0985171234431,809.4183592223332,1321.4560891054336
1361,2022-08-09,1007.9707700656139,772.6972418036562,1265.3088200223415
1362,2022-08-10,1019.8790712305331,788.379745396191,1282.8637995239626
1363,2022-08-11,991.3213464393928,745.4563436153021,1249.9181198213973
1364,2022-08-12,997.8354779156236,746.9489357808067,1258.2552696288756
1365,2022-08-13,945.164217635274,693.7263752430307,1202.8004640620923
