,ds,yhat,yhat_lower,yhat_upper
1348,2022-07-28,2369.3637365941468,1996.7863050926371,2745.529609149285
1349,2022-07-29,2376.027904520314,2031.9365602038422,2752.8911482101607
1350,2022-07-30,2239.839697477341,1847.5509947616172,2643.9592949969538
1352,2022-08-01,2202.014611734874,1808.4981966003902,2577.778792317351
1353,2022-08-02,2090.5098785479718,1670.5687278105854,2461.9625381240353
1354,2022-08-03,2071.7978545484043,1687.9689028179662,2441.7996172759226
1355,2022-08-04,2058.825985678896,1667.4515849403583,2445.2793888721358
1356,2022-08-05,2040.0805822438685,1678.3762062732785,2411.920868472423
1357,2022-08-06,1885.7883116002024,1510.0053558757431,2273.605329525059
1359,2022-08-08,1841.2465459612736,1453.9427852926603,2236.299437197154
1360,2022-08-09,1740.2257440111966,1383.7169427438905,2122.869506458204
1361,2022-08-10,1742.5906295153986,1369.126533564341,2151.668389637762
1362,2022-08-11,1760.4714947269208,1378.3383103922201,2144.761561368134
1363,2022-08-12,1781.9186520175542,1370.9804818139246,2171.273306342224
1364,2022-08-13,1675.6017567719675,1307.4461989474528,2097.4910191128874
