,ds,yhat,yhat_lower,yhat_upper
1344,2022-07-28,4048.266209755765,-1329.1012673313646,9023.94077743155
1345,2022-07-29,3841.3891185250304,-1148.297612464877,8861.888581482148
1346,2022-07-30,3402.397528650248,-1764.0470873579336,8570.204078656658
1348,2022-08-01,3680.26423764866,-1392.025309893873,8713.679218300185
1349,2022-08-02,4380.73877856722,-795.4856612385629,9344.746744414691
1350,2022-08-03,3886.9118014047826,-1421.2223595892242,9055.306247598442
1351,2022-08-04,3967.001828457005,-890.9447307729271,9122.704242329377
1352,2022-08-05,3815.673774623003,-1445.8056909609256,8920.59247110909
1353,2022-08-06,3433.7670839494285,-1693.542628596861,8516.638542941
1355,2022-08-08,3817.07531157446,-1067.8327326877595,9100.243981827487
1356,2022-08-09,4563.489476385967,-663.4736997799905,9242.049882379346
1357,2022-08-10,4116.483945167768,-1033.7037992396406,9014.50951730568
1358,2022-08-11,4235.470345577812,-1264.462921654672,9312.785241110296
1359,2022-08-12,4117.81578074532,-981.2152285049787,9515.562602215996
1360,2022-08-13,3763.6682770703474,-1795.411586420541,8765.964338198683
