,ds,yhat,yhat_lower,yhat_upper
1360,2022-07-28,1753.6069764966778,1224.0277887089744,2304.098630072986
1361,2022-07-29,1788.494352666864,1227.9960931147032,2324.2528689583664
1362,2022-07-30,1775.1113930567985,1230.9972466887652,2311.784064484852
1364,2022-08-01,1864.746040904553,1367.1963026166059,2376.7647540917696
1365,2022-08-02,1810.8490408161126,1265.7840624638131,2366.06814259358
1366,2022-08-03,1837.4215209212166,1301.246640222337,2371.1768781449678
1367,2022-08-04,1821.2268477245698,1227.7949077881156,2389.500265044696
1368,2022-08-05,1857.7630375582946,1371.9646930673096,2378.50749870456
1369,2022-08-06,1846.0894854156572,1296.5090249345012,2394.494339210065
1371,2022-08-08,1940.5345157134673,1414.4127806441265,2500.816743872053
1372,2022-08-09,1888.9090861265536,1329.454554876637,2406.122725216398
1373,2022-08-10,1918.3116561137037,1375.6488145250987,2452.0036750394493
1374,2022-08-11,1904.8425747750887,1371.7518983393134,2429.3735622634904
1375,2022-08-12,1944.3905705948346,1422.1436282004065,2497.2546223234813
1376,2022-08-13,1935.4427802047403,1388.3939634405183,2479.0853444470304
