,ds,yhat,yhat_lower,yhat_upper
1311,2022-07-28,1748.0518956996175,1408.6063068077347,2090.5208212092607
1312,2022-07-29,1783.5996691448847,1432.064450761721,2149.0372316592197
1313,2022-07-30,1806.1255638116459,1428.533171951736,2175.9127775285638
1315,2022-08-01,1964.2005942637368,1607.4991540514955,2312.089648571947
1316,2022-08-02,1938.8385277472107,1602.3120226294284,2291.067490257931
1317,2022-08-03,1961.938476209444,1615.3171931883016,2304.7711676128642
1318,2022-08-04,1991.3372892702057,1612.9302580513822,2346.8587476287344
1319,2022-08-05,2021.4736962320821,1643.1155454191555,2361.82131188541
1320,2022-08-06,2034.6301757266142,1700.0373011155928,2379.9066053844713
1322,2022-08-08,2163.9010271470793,1806.1096021683074,2529.180280764545
1323,2022-08-09,2119.313369618651,1754.6596007007288,2502.0062751422597
1324,2022-08-10,2121.125610998854,1767.2012589489534,2494.8029683736877
1325,2022-08-11,2127.604576859776,1780.3033906573496,2508.7346897076786
1326,2022-08-12,2133.803654267366,1770.5560301100763,2490.349844493673
1327,2022-08-13,2122.595562581422,1789.8042519559501,2475.6588906758498
