,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,21545.552695602615,18080.465922662726,25192.01873102744
301,2022-08-14,22389.254356091857,18877.332911373902,25740.378057187063
302,2022-08-15,21835.116758750504,18246.18663459786,25338.21225450506
303,2022-08-16,21797.476766231564,18307.81197845539,25326.093836600598
304,2022-08-17,21699.80973323252,18280.424844502213,25460.482182533353
305,2022-08-18,21914.7577737927,18599.894016242655,25406.696862658686
306,2022-08-19,21743.33754272441,18241.460374730665,25223.211881848834
308,2022-08-21,23104.51009128853,19598.04484245895,26726.62298168427
309,2022-08-22,22743.863134594958,19230.203721341233,26242.29930619904
310,2022-08-23,22856.991037769978,19217.64130898822,26550.91580893411
