,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,6454.2402158691675,6362.722629435051,6531.16311453615
301,2022-08-14,5730.941030646277,5649.375251206765,5817.15033006587
302,2022-08-15,6439.043366215378,6357.155177124344,6524.650852367883
303,2022-08-16,6438.805281654665,6357.410443625709,6526.0771920966345
304,2022-08-17,6427.033642111544,6341.619915551595,6511.59719173558
305,2022-08-18,6431.7951690580885,6346.482653459967,6519.945697471884
306,2022-08-19,6427.216888490324,6339.116393430828,6513.467392633417
308,2022-08-21,5703.8860698803355,5610.313128059137,5793.005313351837
309,2022-08-22,6403.740360456804,6314.159712201964,6499.690706646031
310,2022-08-23,6398.343398994206,6302.058526988556,6491.823436661968
