,ds,yhat,yhat_lower,yhat_upper
293,2022-08-12,4140.690644751543,3924.156358323856,4369.235198785531
295,2022-08-14,4110.220325198481,3899.0697423046486,4319.103721958403
296,2022-08-15,4128.652406415035,3925.355489624684,4358.110586244869
297,2022-08-16,4123.701846606983,3912.6440680924197,4325.729682152674
298,2022-08-17,4110.339998948505,3896.757553053209,4322.607634578113
299,2022-08-18,4119.873305941056,3907.648650239771,4328.8980390529705
300,2022-08-19,4111.473453707753,3913.2162542059323,4328.126516542947
302,2022-08-21,4035.7576106761812,3831.1271637463183,4249.544469388824
303,2022-08-22,4032.687018737347,3817.7457931118006,4248.000228942005
304,2022-08-23,4007.240127752848,3787.077400184529,4226.77405231855
