,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,4094.5456374769674,3949.116670931942,4224.21498033435
301,2022-08-14,4235.629481956317,4101.718064329668,4363.586629364718
302,2022-08-15,4124.101835016275,3992.972786420759,4268.010102818003
303,2022-08-16,4141.89039647414,4017.126045067957,4292.800576343627
304,2022-08-17,4146.729356871277,4008.8759288172846,4282.324204975526
305,2022-08-18,4144.110834231384,4011.348561046521,4282.881108262517
306,2022-08-19,4158.574567738272,4030.0495248650195,4289.202086848592
308,2022-08-21,4272.081743238316,4131.826237099006,4405.294485784932
309,2022-08-22,4144.417504985252,4010.0300669178305,4280.3345918936475
310,2022-08-23,4145.736658697335,4002.8679380750277,4284.303985979129
