,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,2258.6237984216227,2024.832891895862,2495.391638951836
301,2022-08-14,3385.1243034975373,3154.5815333967516,3626.1491401568433
302,2022-08-15,2251.505420681022,2008.5494587148312,2489.720481239869
303,2022-08-16,2181.1035147042558,1945.4109223526693,2420.8035898849803
304,2022-08-17,2135.93359379568,1904.708020005265,2377.7002474561787
305,2022-08-18,2078.731871185936,1843.9313076406897,2324.702636483145
306,2022-08-19,2017.7809952783098,1788.6649936097967,2252.3056745436656
308,2022-08-21,3002.017601097286,2751.4755002413367,3236.9824277240036
309,2022-08-22,1827.808338340837,1589.6321821817107,2080.62699886048
310,2022-08-23,1698.7876905706203,1470.4569447916567,1943.688463261571
