,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,7613.193158447125,7034.721018416123,8165.955691449462
301,2022-08-14,7507.704150065481,7004.202875500061,8039.286841915467
302,2022-08-15,7632.522565377633,7085.421732656653,8153.987101815036
303,2022-08-16,7662.247452818582,7170.320942770169,8231.654593330866
304,2022-08-17,7716.584329944326,7153.978822675582,8204.161795364516
305,2022-08-18,7804.139255597576,7295.980566157206,8341.554778730033
306,2022-08-19,7860.900089487836,7299.078149617818,8404.52684795844
308,2022-08-21,7823.877216739657,7255.986851778435,8376.944601177887
309,2022-08-22,7975.32419263596,7407.4080435134565,8514.056568673974
310,2022-08-23,8026.8192919961775,7449.867230170628,8555.179352312987
