,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,15559.207129292241,14278.374635308337,16782.93717117162
301,2022-08-14,-1312.9000805122737,-2532.9422868165443,-145.08962184155249
302,2022-08-15,15953.53986644154,14664.997131010712,17146.381264518543
303,2022-08-16,16205.719147988957,15093.725896379063,17403.80572340457
304,2022-08-17,16386.21778984641,15231.971723013232,17619.267243372535
305,2022-08-18,16756.46942192362,15492.025116555586,17893.849778543456
306,2022-08-19,17106.65372044632,15903.125624351389,18287.112735380146
308,2022-08-21,615.9775347342646,-618.5437192256195,1783.902392898332
309,2022-08-22,18255.91155878477,17040.186958106202,19378.724496829458
310,2022-08-23,18715.852916358956,17575.891371528243,19873.91798897234
