,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,13340.925060957428,12259.653966585398,14463.704460312189
301,2022-08-14,11848.558479955245,10760.145473332977,12864.898656372103
302,2022-08-15,12717.378208631419,11578.134651343282,13928.21191583668
303,2022-08-16,12621.424131058087,11505.400604351202,13759.14159901054
304,2022-08-17,12523.249939574305,11349.81637395421,13651.638898122326
305,2022-08-18,12487.67233276027,11375.708843334356,13629.027678827622
306,2022-08-19,12419.144167458078,11365.509845812263,13608.23081804007
308,2022-08-21,11341.220109552469,10248.453197226712,12453.387281974936
309,2022-08-22,12419.559256866321,11303.76992720978,13475.818982421872
310,2022-08-23,12526.117734464853,11422.129915953423,13569.332909177674
