,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,-338.9719360305076,-661.4682871910314,-56.623678856420284
301,2022-08-14,-193.300545984386,-488.5898077004824,119.57654956880835
302,2022-08-15,-377.3789916229195,-694.1414191348093,-63.06087692313851
303,2022-08-16,-391.1636279980487,-715.3093435840594,-67.70237333288348
304,2022-08-17,-403.8587429688774,-722.6795825350345,-89.99731311336961
305,2022-08-18,-414.848381177587,-741.4849032145207,-124.92731998210564
306,2022-08-19,-421.9200174641105,-730.3508849245566,-88.93713352012311
308,2022-08-21,-240.41601466612158,-557.4267937052355,62.51542643873783
309,2022-08-22,-456.012412780267,-762.3959490858285,-137.71562038486064
310,2022-08-23,-468.2424723814746,-774.2630199088128,-148.03987824365768
