,ds,yhat,yhat_lower,yhat_upper
287,2022-08-12,4684.229706099787,4458.757066342944,4923.824231759073
289,2022-08-14,4441.067620981153,4189.015947511661,4674.8198811446
290,2022-08-15,4637.719264852138,4401.208051354879,4864.210419532652
291,2022-08-16,4660.074764400657,4431.605093794019,4885.252790904308
292,2022-08-17,4640.268336457164,4391.679123061941,4888.488599920439
293,2022-08-18,4648.734460930122,4404.750050837146,4867.471464420946
294,2022-08-19,4517.527582452943,4282.217682543077,4749.399723738683
296,2022-08-21,4221.764684313624,3978.0261058294686,4474.653003493844
297,2022-08-22,4394.6233705542345,4172.176485456656,4653.171962288113
298,2022-08-23,4397.647738139922,4171.878004081654,4654.748598903686
