,ds,yhat,yhat_lower,yhat_upper
243,2022-08-12,0.0,-1.2734871025180786e-09,1.357061774975568e-09
245,2022-08-14,0.0,-1.2916473294403743e-09,1.2518434024306654e-09
246,2022-08-15,0.0,-1.321714746878402e-09,1.282589205294316e-09
247,2022-08-16,0.0,-1.316224867935857e-09,1.257513410987153e-09
248,2022-08-17,0.0,-1.251101707601389e-09,1.346362929607618e-09
249,2022-08-18,0.0,-1.2407697197495513e-09,1.2010413335859838e-09
250,2022-08-19,0.0,-1.3054301023323043e-09,1.2661023309710718e-09
252,2022-08-21,0.0,-1.267704075826427e-09,1.3241979507576472e-09
253,2022-08-22,0.0,-1.2907537885713506e-09,1.1673945179425873e-09
254,2022-08-23,0.0,-1.3145783471333805e-09,1.3184967195694713e-09
