,ds,yhat,yhat_lower,yhat_upper
287,2022-08-12,1313.043514094921,1175.0392166995723,1464.4169469816757
289,2022-08-14,1415.8174170967086,1283.3358834672747,1557.8351766391856
290,2022-08-15,1347.7323958516645,1203.5348465229824,1492.4703168884876
291,2022-08-16,1363.6308778737948,1216.538282741392,1512.2041767108387
292,2022-08-17,1380.8411934265885,1237.02388010771,1519.294793341444
293,2022-08-18,1396.645549902592,1248.9205051058657,1542.983955409707
294,2022-08-19,1427.7030743303433,1274.7843540355902,1571.2890414444803
296,2022-08-21,1546.831701310778,1400.8385705770645,1680.9064715363777
297,2022-08-22,1485.467910158031,1339.2237580466328,1612.7608596830923
298,2022-08-23,1510.2805473512124,1359.3224124873493,1650.1336046229428
