,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,5902.030708023779,5877.251840429979,5927.52830435609
301,2022-08-14,2094.8506223514173,2069.443906024394,2120.275599197049
302,2022-08-15,5893.054679550217,5867.946219620996,5918.296906906648
303,2022-08-16,5887.16910892755,5862.383099324667,5912.298680001752
304,2022-08-17,5884.491584924915,5859.23464854258,5912.567319299738
305,2022-08-18,5883.085390607455,5857.764990350586,5908.941907773373
306,2022-08-19,5878.769647501873,5850.003249561759,5906.369555864556
308,2022-08-21,2075.539535730299,2048.985228890902,2099.627374508731
309,2022-08-22,5869.289138241724,5835.980840779182,5900.073868447494
310,2022-08-23,5863.536295098373,5829.207081892658,5897.692360980937
