,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,6088.77600738249,5768.37282425259,6373.578354750001
301,2022-08-14,5901.309816780065,5617.816110296383,6185.479835757373
302,2022-08-15,6094.560064319325,5789.479965604676,6389.962127288106
303,2022-08-16,6098.788193266897,5795.2670820440135,6385.533737201536
304,2022-08-17,6097.025502991413,5790.761064041997,6388.817301709582
305,2022-08-18,6078.715247768896,5744.3631937047685,6401.525252726261
306,2022-08-19,6017.828374654927,5705.7102244203015,6346.909714600874
308,2022-08-21,5869.612540376019,5563.299297008341,6159.751906572381
309,2022-08-22,6085.050576018286,5772.404081816469,6396.348670393375
310,2022-08-23,6110.272326977075,5798.71002202035,6394.496393384975
