,ds,yhat,yhat_lower,yhat_upper
299,2022-08-12,5037.410159089288,4925.709318389144,5146.22761303629
301,2022-08-14,4531.342908674536,4421.266130845664,4648.6864226557345
302,2022-08-15,5137.9178939012745,5026.970429683364,5250.431978250347
303,2022-08-16,5169.480613695609,5062.536025085174,5287.83252263027
304,2022-08-17,5203.71755990829,5088.698124062983,5321.301430915441
305,2022-08-18,5252.681775975965,5140.042057036289,5363.934980167677
306,2022-08-19,5315.7669302001095,5203.441258657129,5425.000238957467
308,2022-08-21,4836.336657810794,4709.065258880528,4950.40170487021
309,2022-08-22,5465.760552683712,5357.545495760221,5578.382222768775
310,2022-08-23,5516.8867037512255,5394.196580559,5623.345573698787
