,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,3955.9203971488955,3847.695751342862,4070.0336690340832
303,2022-08-16,3940.726393454704,3819.9873650697623,4051.377208728595
304,2022-08-17,3915.039199654495,3800.8289432475176,4032.3116706167966
305,2022-08-18,3901.346038888701,3793.261074323411,4017.844618057814
306,2022-08-19,3867.947928058412,3745.120140633231,3992.9140418999846
308,2022-08-21,3874.1788180853014,3759.2973339492423,3993.374411130383
309,2022-08-22,3837.6070720804146,3720.705507937752,3949.2599765923896
310,2022-08-23,3859.8419597946595,3752.554915410629,3977.3741081371527
311,2022-08-24,3877.8675413433375,3764.605423551622,3992.5438890196715
312,2022-08-25,3914.169513620202,3801.867273149904,4030.866117830387
