,ds,yhat,yhat_lower,yhat_upper
276,2022-08-15,888.7622327672526,857.6225944012705,918.0856399429312
277,2022-08-16,892.2137901459311,861.1055635462403,920.7030597455315
278,2022-08-17,892.8609369141067,860.5553848404151,922.5594535816551
279,2022-08-18,892.3300434469444,862.2144988690162,921.4591471461367
280,2022-08-19,887.658892343191,856.6008024325953,918.1317687687372
282,2022-08-21,-73.44512975526773,-103.17778200701406,-46.06332994973738
283,2022-08-22,886.4828593979952,856.5638715884056,915.9659637995192
284,2022-08-23,890.6776507227383,861.7042326026984,921.0491540879342
285,2022-08-24,891.8525560234475,861.0422173516282,920.9341210619526
286,2022-08-25,891.6836703201523,860.277603627123,920.4301508320038
